index,imdb_id,nominee,tony_id,birthYear,deathYear,imdb_img
27,nm0000025,Jerry Goldsmith,,1929,2004,https://m.media-amazon.com/images/M/MV5BMjM3ODQwNTQ1OF5BMl5BanBnXkFtZTgwNjU2MjczMDI@._V1_.jpg
28,nm0000027,Alec Guinness,alec-guinness-67689,1914,2000,https://m.media-amazon.com/images/M/MV5BMTUyMjgzMjczOF5BMl5BanBnXkFtZTgwNzcyMzQyNDM@._V1_.jpg
29,nm0000030,Audrey Hepburn,audrey-hepburn-44925,1929,1993,https://m.media-amazon.com/images/M/MV5BZTNkOWNjNGYtNDczZC00NzhlLWE0NDQtYzgzZTZiOTNhOGQ0XkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
30,nm0000031,Katharine Hepburn,katharine-hepburn-44928,1907,2003,https://m.media-amazon.com/images/M/MV5BNmUwMTRlOGEtMmNiZi00YmU0LThlOTAtOTYzZjA5MTkzNzFkXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
31,nm0000032,Charlton Heston,,1923,2008,https://m.media-amazon.com/images/M/MV5BNTBkOTkzMDYtY2JlMC00ODExLWJjNTAtZTcxMjZkMzZkYTgzXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
32,nm0000033,Alfred Hitchcock,,1899,1980,https://m.media-amazon.com/images/M/MV5BNGJkNmE4MjMtNGIzNC00NTVjLWJkNDItZTE5NTI2YmZiZDg5XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg
33,nm0000034,William Holden,,1918,1981,https://m.media-amazon.com/images/M/MV5BNzVhMjZiMzItMTIxYi00M2EzLWE0YWMtYTZhODk4NDQ2ZDJmXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_.jpg
34,nm0000037,Gene Kelly,,1912,1996,https://m.media-amazon.com/images/M/MV5BMTM3MzIyMDI5Ml5BMl5BanBnXkFtZTYwNzQ2MjU2._V1_.jpg
35,nm1180502,Gene Kelly,,,,
36,nm0000039,Deborah Kerr,,1921,2007,https://m.media-amazon.com/images/M/MV5BNTYyODU1YTktMjFmZS00ZjMyLTllYTQtNzM1NzUyY2I1YWM4XkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
37,nm0000049,Henry Mancini,,1924,1994,https://m.media-amazon.com/images/M/MV5BMTM2Njc4MDAxOF5BMl5BanBnXkFtZTcwODMyNzMzOA@@._V1_.jpg
38,nm0000050,Groucho Marx,,1890,1977,https://m.media-amazon.com/images/M/MV5BMTk3OTA3NDA0NV5BMl5BanBnXkFtZTYwNzUzMzQ2._V1_.jpg
39,nm0000056,Paul Newman,paul-newman-54477,1925,2008,https://m.media-amazon.com/images/M/MV5BOWY2MDlmNTAtYWQ3Mi00YTU0LWEzZDYtYmEyM2UzYTY2YTM1XkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
40,nm1008727,Paul Newman,,,,
41,nm0000057,David Niven,,1910,1983,https://m.media-amazon.com/images/M/MV5BNTU3NzU3NjIyNF5BMl5BanBnXkFtZTcwNDUxMTMyNA@@._V1_.jpg
42,nm0000059,Laurence Olivier,laurence-olivier-15809,1907,1989,https://m.media-amazon.com/images/M/MV5BNzc0YTAzYWEtNjJkOC00NjE5LWI0ZDYtMGYzOWVlN2UwYTNkXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
43,nm0000060,Gregory Peck,,1916,2003,https://m.media-amazon.com/images/M/MV5BMTA5Njg2OGItZjJiMS00MDU4LWEzZDAtYjQ0NDBjYWYzZjFjXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
44,nm0000063,Anthony Quinn,anthony-quinn-56761,1915,2001,https://m.media-amazon.com/images/M/MV5BMTY2MTAxMzIxMV5BMl5BanBnXkFtZTYwODc3OTE2._V1_.jpg
45,nm0000069,Frank Sinatra,,1915,1998,https://m.media-amazon.com/images/M/MV5BNTYzMzM2ODgzM15BMl5BanBnXkFtZTYwOTc5MzM2._V1_.jpg
46,nm0000082,Victor Young,,1899,1956,https://m.media-amazon.com/images/M/MV5BZWY4NzU4ZDEtOTA3NC00NTI0LWI4MjQtYWVkYzMxOWI4MWQ5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg
47,nm0000092,John Cleese,,1939,,https://m.media-amazon.com/images/M/MV5BMTQ1MTIzMzM1MF5BMl5BanBnXkFtZTYwNjQ3ODI1._V1_.jpg
48,nm0000093,Brad Pitt,,1963,,https://m.media-amazon.com/images/M/MV5BMjA1MjE2MTQ2MV5BMl5BanBnXkFtZTcwMjE5MDY0Nw@@._V1_.jpg
49,nm0000095,Woody Allen,woody-allen-9226,1935,,https://m.media-amazon.com/images/M/MV5BMTI1MjU3MTI2MF5BMl5BanBnXkFtZTcwMDgxNTE4MQ@@._V1_.jpg
50,nm0000096,Gillian Anderson,,1968,,https://m.media-amazon.com/images/M/MV5BMmRjNWQwMDQtMWNjZS00ZTUzLTkwODEtMTU5YjRlZmJiMTVkXkEyXkFqcGdeQXVyMTEzNjc3MDQ5._V1_.jpg
51,nm0000098,Jennifer Aniston,,1969,,https://m.media-amazon.com/images/M/MV5BNjk1MjIxNjUxNF5BMl5BanBnXkFtZTcwODk2NzM4Mg@@._V1_.jpg
52,nm0000099,Patricia Arquette,,1968,,https://m.media-amazon.com/images/M/MV5BMTQ5Njg0NjkxMV5BMl5BanBnXkFtZTcwMzc0NTI5NA@@._V1_.jpg
53,nm0000101,Dan Aykroyd,,1952,,https://m.media-amazon.com/images/M/MV5BMTI2MDA3NTg0NF5BMl5BanBnXkFtZTYwMzM5ODgz._V1_.jpg
54,nm0000102,Kevin Bacon,,1958,,https://m.media-amazon.com/images/M/MV5BOTQxMTEyMjI0NV5BMl5BanBnXkFtZTgwODE4ODAzMjE@._V1_.jpg
55,nm0000104,Antonio Banderas,antonio-banderas-95453,1960,,https://m.media-amazon.com/images/M/MV5BMTUyOTQ3NTYyNF5BMl5BanBnXkFtZTcwMTY2NjIzNQ@@._V1_.jpg
56,nm0000106,Drew Barrymore,,1975,,https://m.media-amazon.com/images/M/MV5BMjEyOTMzODIxM15BMl5BanBnXkFtZTcwODM2NTY5Mg@@._V1_.jpg
57,nm0000110,Kenneth Branagh,,1960,,https://m.media-amazon.com/images/M/MV5BMjI0NTQ4Mjk5Ml5BMl5BanBnXkFtZTcwMDc1NjkzNw@@._V1_.jpg
58,nm0000111,Matthew Broderick,matthew-broderick-33099,1962,,https://m.media-amazon.com/images/M/MV5BMTg2NjA0MzM0OF5BMl5BanBnXkFtZTcwMDU5ODAxMw@@._V1_.jpg
59,nm0000114,Steve Buscemi,,1957,,https://m.media-amazon.com/images/M/MV5BODc0NTU3NDA4M15BMl5BanBnXkFtZTcwNDkxNzQxNA@@._V1_.jpg
60,nm0000116,James Cameron,,1954,,https://m.media-amazon.com/images/M/MV5BMjI0MjMzOTg2MF5BMl5BanBnXkFtZTcwMTM3NjQxMw@@._V1_.jpg
61,nm0000120,Jim Carrey,,1962,,https://m.media-amazon.com/images/M/MV5BMTQwMjAwNzI0M15BMl5BanBnXkFtZTcwOTY1MTMyOQ@@._V1_.jpg
62,nm0000123,George Clooney,,1961,,https://m.media-amazon.com/images/M/MV5BMjEyMTEyOTQ0MV5BMl5BanBnXkFtZTcwNzU3NTMzNw@@._V1_.jpg
63,nm0000126,Kevin Costner,,1955,,https://m.media-amazon.com/images/M/MV5BMTY1ODkwMTQxOF5BMl5BanBnXkFtZTcwNzkwNDcyMw@@._V1_.jpg
64,nm0000130,Jamie Lee Curtis,,1958,,https://m.media-amazon.com/images/M/MV5BMjI0MTI0MDk2OV5BMl5BanBnXkFtZTgwODQ4MTE0NDE@._V1_.jpg
65,nm0000132,Claire Danes,,1979,,https://m.media-amazon.com/images/M/MV5BMTMyMzQ1Mjk3M15BMl5BanBnXkFtZTcwNzk3ODMxNw@@._V1_.jpg
66,nm0000133,Geena Davis,,1956,,https://m.media-amazon.com/images/M/MV5BOWU5MGMzMWYtYWQ1Ny00Njk0LTg3NTctZDgxOGUyNDhjNDJhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg
67,nm0000134,Robert De Niro,,1943,,https://m.media-amazon.com/images/M/MV5BMjAwNDU3MzcyOV5BMl5BanBnXkFtZTcwMjc0MTIxMw@@._V1_.jpg
68,nm0000135,John Denver,,1943,1997,https://m.media-amazon.com/images/M/MV5BMTcxNjM1MDczMV5BMl5BanBnXkFtZTcwNTY4ODAzMQ@@._V1_.jpg
69,nm0000138,Leonardo DiCaprio,,1974,,https://m.media-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@._V1_.jpg
70,nm0000140,Michael Douglas,,1944,,https://m.media-amazon.com/images/M/MV5BMTQ3NzMzOTQ3MF5BMl5BanBnXkFtZTcwOTE0MzY1Mw@@._V1_.jpg
71,nm0000141,David Duchovny,,1960,,https://m.media-amazon.com/images/M/MV5BNzBhMjAyZGYtZWQ1Yy00MTQxLWEwNjgtZTczYzJjMjIxZWE2XkEyXkFqcGdeQXVyNjk1MjYyNTA@._V1_.jpg
72,nm0000142,Clint Eastwood,,1930,,https://m.media-amazon.com/images/M/MV5BMTg3MDc0MjY0OV5BMl5BanBnXkFtZTcwNzU1MDAxOA@@._V1_.jpg
73,nm0000145,Sherilyn Fenn,,1965,,https://m.media-amazon.com/images/M/MV5BMjA2MDYwNTEyMV5BMl5BanBnXkFtZTYwMzM3NDk1._V1_.jpg
74,nm0000146,Ralph Fiennes,ralph-fiennes-70980,1962,,https://m.media-amazon.com/images/M/MV5BMzc5MjE1NDgyN15BMl5BanBnXkFtZTcwNzg2ODgwNA@@._V1_.jpg
75,nm0000147,Colin Firth,,1960,,https://m.media-amazon.com/images/M/MV5BMTUxMDMwMTI4MF5BMl5BanBnXkFtZTcwMzE2MzQxMw@@._V1_.jpg
76,nm0000149,Jodie Foster,,1962,,https://m.media-amazon.com/images/M/MV5BMTM3MjgyOTQwNF5BMl5BanBnXkFtZTcwMDczMzEwNA@@._V1_.jpg
77,nm0000150,Michael J. Fox,,1961,,https://m.media-amazon.com/images/M/MV5BMTcwNzM0MjE4NF5BMl5BanBnXkFtZTcwMDkxMzEwMw@@._V1_.jpg
78,nm0289153,Michael J. Fox,,1969,,
79,nm0000151,Morgan Freeman,morgan-freeman-41296,1937,,https://m.media-amazon.com/images/M/MV5BMTc0MDMyMzI2OF5BMl5BanBnXkFtZTcwMzM2OTk1MQ@@._V1_.jpg
80,nm0000152,Richard Gere,,1949,,https://m.media-amazon.com/images/M/MV5BMTI2NDQ2OTY4M15BMl5BanBnXkFtZTYwNTYyNjc4._V1_.jpg
81,nm0000155,Whoopi Goldberg,whoopi-goldberg-42457,1955,,https://m.media-amazon.com/images/M/MV5BMjE4ODgzNjQwOV5BMl5BanBnXkFtZTYwNzczNzc0._V1_.jpg
82,nm0000156,Jeff Goldblum,,1952,,https://m.media-amazon.com/images/M/MV5BY2ViNDIwNmUtZGQ5Ni00MDYxLWI5YTktNWU1NGRlYWQ1ZDg0XkEyXkFqcGdeQXVyOTAyMDgxODQ@._V1_.jpg
83,nm0000157,Linda Hamilton,,1956,,https://m.media-amazon.com/images/M/MV5BN2NiY2M2YmMtMjQ3ZS00YjUyLWFkMmItNmUzNGQ2MjZlNDRhXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_.jpg
84,nm0000158,Tom Hanks,tom-hanks-493579,1956,,https://m.media-amazon.com/images/M/MV5BMTQ2MjMwNDA3Nl5BMl5BanBnXkFtZTcwMTA2NDY3NQ@@._V1_.jpg
85,nm0000159,Teri Hatcher,,1964,,https://m.media-amazon.com/images/M/MV5BMjAwODU5ODE3OV5BMl5BanBnXkFtZTcwNjY5MjEyNQ@@._V1_.jpg
86,nm0000161,Salma Hayek,,1966,,https://m.media-amazon.com/images/M/MV5BMzkyMTk2NzM2Ml5BMl5BanBnXkFtZTcwNDQ4MjYzMg@@._V1_.jpg
87,nm0000162,Anne Heche,anne-heche-100821,1969,2022,https://m.media-amazon.com/images/M/MV5BMTI1MzgwNzc2Ml5BMl5BanBnXkFtZTYwNTU3NjAz._V1_.jpg
88,nm0000163,Dustin Hoffman,dustin-hoffman-15122,1937,,https://m.media-amazon.com/images/M/MV5BMTc3NzU0ODczMF5BMl5BanBnXkFtZTcwODEyMDY5Mg@@._V1_.jpg
89,nm0000164,Anthony Hopkins,,1937,,https://m.media-amazon.com/images/M/MV5BMTg5ODk1NTc5Ml5BMl5BanBnXkFtZTYwMjAwOTI4._V1_.jpg
90,nm0000165,Ron Howard,,1954,,https://m.media-amazon.com/images/M/MV5BMTkzMDczMjUxNF5BMl5BanBnXkFtZTcwODY1Njk5Mg@@._V1_.jpg
91,nm0000166,Helen Hunt,,1963,,https://m.media-amazon.com/images/M/MV5BMTM1OTk1ODIwMV5BMl5BanBnXkFtZTcwMTA0MTIwOQ@@._V1_.jpg
92,nm0000168,Samuel L. Jackson,samuel-l-jackson-416341,1948,,https://m.media-amazon.com/images/M/MV5BMTQ1NTQwMTYxNl5BMl5BanBnXkFtZTYwMjA1MzY1._V1_.jpg
93,nm0000169,Tommy Lee Jones,,1946,,https://m.media-amazon.com/images/M/MV5BMTkyNjc4MDc0OV5BMl5BanBnXkFtZTcwOTc5OTUwOQ@@._V1_.jpg
94,nm0000171,Ashley Judd,,1968,,https://m.media-amazon.com/images/M/MV5BMTY3Mzg0ODcwOF5BMl5BanBnXkFtZTYwMzA2NDQz._V1_.jpg
95,nm0000173,Nicole Kidman,,1967,,https://m.media-amazon.com/images/M/MV5BMTk1MjM5NDg4MF5BMl5BanBnXkFtZTcwNDg1OTQ4Nw@@._V1_.jpg
96,nm0000175,Stephen King,,1947,,https://m.media-amazon.com/images/M/MV5BMjA2ODIxNDM4Nl5BMl5BanBnXkFtZTYwMjkzMzU1._V1_.jpg
97,nm0000177,Kevin Kline,kevin-kline-67986,1947,,https://m.media-amazon.com/images/M/MV5BMTMxMjcxMzMzMV5BMl5BanBnXkFtZTcwNjQzOTQ4Mg@@._V1_.jpg
98,nm0000178,Diane Lane,,1965,,https://m.media-amazon.com/images/M/MV5BNDIxNWNhZGYtYzgyYi00YTc1LTg5NjItYTA1ZjMyYmFmZDliXkEyXkFqcGdeQXVyMTA2MDIzMDE5._V1_.jpg
99,nm0000182,Jennifer Lopez,,1969,,https://m.media-amazon.com/images/M/MV5BMTY0OTY3ODA3OV5BMl5BanBnXkFtZTcwMzMyMzQ1NQ@@._V1_.jpg
100,nm0000184,George Lucas,,1944,,https://m.media-amazon.com/images/M/MV5BMTA0Mjc0NzExNzBeQTJeQWpwZ15BbWU3MDEzMzQ3MDI@._V1_.jpg
101,nm0000186,David Lynch,,1946,,https://m.media-amazon.com/images/M/MV5BMTQ1MTY2MTY2Nl5BMl5BanBnXkFtZTcwMDg1ODYwNA@@._V1_.jpg
102,nm0528269,David Lynch,,,,
103,nm0000188,Steve Martin,steve-martin-95761,1945,,https://m.media-amazon.com/images/M/MV5BNDY0ODYwNDM3OV5BMl5BanBnXkFtZTcwMTc3NjQzMg@@._V1_.jpg
104,nm0000190,Matthew McConaughey,,1969,,https://m.media-amazon.com/images/M/MV5BMTg0MDc3ODUwOV5BMl5BanBnXkFtZTcwMTk2NjY4Nw@@._V1_.jpg
105,nm0000191,Ewan McGregor,,1971,,https://m.media-amazon.com/images/M/MV5BMTg1MjQ0MDg0Nl5BMl5BanBnXkFtZTcwNjYyNjI5Mg@@._V1_.jpg
106,nm0000193,Demi Moore,,1962,,https://m.media-amazon.com/images/M/MV5BMTc2Mjc1MDE4MV5BMl5BanBnXkFtZTcwNzAyNDczNA@@._V1_.jpg
107,nm0000194,Julianne Moore,,1960,,https://m.media-amazon.com/images/M/MV5BMTM5NDI1MjE2Ml5BMl5BanBnXkFtZTgwNDE0Nzk0MDE@._V1_.jpg
108,nm0000195,Bill Murray,,1950,,https://m.media-amazon.com/images/M/MV5BMTQ1OTM0MjEwOF5BMl5BanBnXkFtZTYwNTQwNzI1._V1_.jpg
109,nm0000196,Mike Myers,,1963,,https://m.media-amazon.com/images/M/MV5BMTY0MTM1MTM5Nl5BMl5BanBnXkFtZTcwNzA1OTM3MQ@@._V1_.jpg
110,nm0000198,Gary Oldman,,1958,,https://m.media-amazon.com/images/M/MV5BMTc3NTM4MzQ5MV5BMl5BanBnXkFtZTcwOTE4MDczNw@@._V1_.jpg
111,nm0000199,Al Pacino,al-pacino-15827,1940,,https://m.media-amazon.com/images/M/MV5BMTQzMzg1ODAyNl5BMl5BanBnXkFtZTYwMjAxODQ1._V1_.jpg
112,nm0000200,Bill Paxton,,1955,2017,https://m.media-amazon.com/images/M/MV5BNjY2NTQwOTAyNV5BMl5BanBnXkFtZTcwNTUyNjYwMw@@._V1_.jpg
113,nm0000201,Michelle Pfeiffer,,1958,,https://m.media-amazon.com/images/M/MV5BMTUzNjI0Njc5NF5BMl5BanBnXkFtZTYwOTM2MjYz._V1_.jpg
114,nm0000207,Christina Ricci,,1980,,https://m.media-amazon.com/images/M/MV5BMjUzMzk5NzcyNV5BMl5BanBnXkFtZTcwNzQ1NjkzNw@@._V1_.jpg
115,nm0000210,Julia Roberts,,1967,,https://m.media-amazon.com/images/M/MV5BMTQzNjU3MDczN15BMl5BanBnXkFtZTYwNzY2Njc4._V1_.jpg
116,nm0000215,Susan Sarandon,,1946,,https://m.media-amazon.com/images/M/MV5BM2IyYmE3NjktZTRjYi00YWE3LWIwYjgtOTg1MGZmMmY1ZDA2XkEyXkFqcGdeQXVyODMyNDA5NTQ@._V1_.jpg
117,nm0000216,Arnold Schwarzenegger,,1947,,https://m.media-amazon.com/images/M/MV5BMTI3MDc4NzUyMV5BMl5BanBnXkFtZTcwMTQyMTc5MQ@@._V1_.jpg
118,nm0000217,Martin Scorsese,,1942,,https://m.media-amazon.com/images/M/MV5BMTcyNDA4Nzk3N15BMl5BanBnXkFtZTcwNDYzMjMxMw@@._V1_.jpg
119,nm0000218,Kristin Scott Thomas,,1960,,https://m.media-amazon.com/images/M/MV5BNDc2MjQ1MzE4NV5BMl5BanBnXkFtZTcwMzU4NDU1OQ@@._V1_.jpg
120,nm0000221,Charlie Sheen,,1965,,https://m.media-amazon.com/images/M/MV5BMTIyNDQ5Nzk2OF5BMl5BanBnXkFtZTcwODU4MTU5MQ@@._V1_.jpg
121,nm0000226,Will Smith,,1968,,https://m.media-amazon.com/images/M/MV5BNTczMzk1MjU1MV5BMl5BanBnXkFtZTcwNDk2MzAyMg@@._V1_.jpg
122,nm0810337,Will Smith,,1971,,
123,nm5943566,Will Smith,,,,
124,nm0000227,Mira Sorvino,,1967,,https://m.media-amazon.com/images/M/MV5BMzhmZjVjYTMtODRkYS00MTFjLWE0NDAtMDk5Mzk2M2JhNDliXkEyXkFqcGdeQXVyOTkxMDEwMDE@._V1_.jpg
125,nm0000228,Kevin Spacey,kevin-spacey-60628,1959,,https://m.media-amazon.com/images/M/MV5BMTY1NzMyODc3Nl5BMl5BanBnXkFtZTgwNzE2MzA1NDM@._V1_.jpg
126,nm0000229,Steven Spielberg,,1946,,https://m.media-amazon.com/images/M/MV5BMTY1NjAzNzE1MV5BMl5BanBnXkFtZTYwNTk0ODc0._V1_.jpg
127,nm0000231,Oliver Stone,,1946,,https://m.media-amazon.com/images/M/MV5BMTMwMjExMTY3OV5BMl5BanBnXkFtZTcwNjY3MDA2MQ@@._V1_.jpg
128,nm0000232,Sharon Stone,,1958,,https://m.media-amazon.com/images/M/MV5BMTg0MDU1ODQwNF5BMl5BanBnXkFtZTcwOTc3MjQwNA@@._V1_.jpg
129,nm0000233,Quentin Tarantino,,1963,,https://m.media-amazon.com/images/M/MV5BMTgyMjI3ODA3Nl5BMl5BanBnXkFtZTcwNzY2MDYxOQ@@._V1_.jpg
130,nm0000234,Charlize Theron,,1975,,https://m.media-amazon.com/images/M/MV5BMTk5Mzc4ODU0Ml5BMl5BanBnXkFtZTcwNjU1NTI0Mw@@._V1_.jpg
131,nm0000235,Uma Thurman,,1970,,https://m.media-amazon.com/images/M/MV5BMjMxNzk1MTQyMl5BMl5BanBnXkFtZTgwMDIzMDEyMTE@._V1_.jpg
132,nm0000237,John Travolta,,1954,,https://m.media-amazon.com/images/M/MV5BMTMyMjZlYzgtZWRjMC00OTRmLTllZTktMmM1ODVmNjljMTQyXkEyXkFqcGdeQXVyMTExNzQ3MzAw._V1_.jpg
133,nm0000242,Mark Wahlberg,,1971,,https://m.media-amazon.com/images/M/MV5BMTU0MTQ4OTMyMV5BMl5BanBnXkFtZTcwMTQxOTY1NA@@._V1_.jpg
134,nm0000243,Denzel Washington,denzel-washington-64166,1954,,https://m.media-amazon.com/images/M/MV5BMjE5NDU2Mzc3MV5BMl5BanBnXkFtZTcwNjAwNTE5OQ@@._V1_.jpg
135,nm0000244,Sigourney Weaver,sigourney-weaver-64298,1949,,https://m.media-amazon.com/images/M/MV5BMTk1MTcyNTE3OV5BMl5BanBnXkFtZTcwMTA0MTMyMw@@._V1_.jpg
136,nm0000245,Robin Williams,,1951,2014,https://m.media-amazon.com/images/M/MV5BNTYzMjc2Mjg4MF5BMl5BanBnXkFtZTcwODc1OTQwNw@@._V1_.jpg
137,nm0000246,Bruce Willis,,1955,,https://m.media-amazon.com/images/M/MV5BMjA0MjMzMTE5OF5BMl5BanBnXkFtZTcwMzQ2ODE3Mw@@._V1_.jpg
138,nm0000249,James Woods,,1947,,https://m.media-amazon.com/images/M/MV5BMTM3NTEzNjI5NV5BMl5BanBnXkFtZTcwNjQzOTkwNA@@._V1_.jpg
139,nm0000255,Ben Affleck,,1972,,https://m.media-amazon.com/images/M/MV5BMzczNzNiMDAtMmUzZS00MTkwLWIwOTYtNmYyNjg3MTVkNThhXkEyXkFqcGdeQXVyMjA4MjI5MTA@._V1_.jpg
140,nm0000256,Jenny Agutter,,1952,,https://m.media-amazon.com/images/M/MV5BMjhiMGJmOTItZDdjYS00ZTUwLWIzMjktMmVkMDk5OGMzOTliXkEyXkFqcGdeQXVyMjU5OTg5NDc@._V1_.jpg
141,nm0000257,Alan Alda,alan-alda-29524,1936,,https://m.media-amazon.com/images/M/MV5BMTE5NDM1NjkyMV5BMl5BanBnXkFtZTYwNDA3NjQz._V1_.jpg
142,nm0000260,Joan Allen,joan-allen-29666,1956,,https://m.media-amazon.com/images/M/MV5BMTU1MjIwNTk5Ml5BMl5BanBnXkFtZTcwNjA2MzQxMw@@._V1_.jpg
143,nm0000263,Kirstie Alley,,1951,2022,https://m.media-amazon.com/images/M/MV5BMTc4Nzk3NTU4MV5BMl5BanBnXkFtZTYwNjQ4ODI4._V1_.jpg
144,nm0000265,Robert Altman,,1925,2006,https://m.media-amazon.com/images/M/MV5BODYxMzE1NDUxNl5BMl5BanBnXkFtZTYwMjAyMjc1._V1_.jpg
145,nm0000267,Julie Andrews,julie-andrews-29923,1935,,https://m.media-amazon.com/images/M/MV5BMjExMTYyODA2Ml5BMl5BanBnXkFtZTYwMTgyMDA0._V1_.jpg
146,nm0000268,Ann-Margret,,1941,,https://m.media-amazon.com/images/M/MV5BZTY0MzU0NTItMmVmYy00YjNjLWFjNmEtYTg5ZTVmMjE1NTRiXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
147,nm0000273,Alan Arkin,alan-arkin-14056,1934,2023,https://m.media-amazon.com/images/M/MV5BMjA4NDk5Njc3MF5BMl5BanBnXkFtZTYwNjc5NDc0._V1_.jpg
148,nm0000275,Rosanna Arquette,,1959,,https://m.media-amazon.com/images/M/MV5BNTI0MjYxMzQ0OF5BMl5BanBnXkFtZTcwMTk0OTE3NQ@@._V1_.jpg
149,nm0000279,Hank Azaria,hank-azaria-384263,1964,,https://m.media-amazon.com/images/M/MV5BMTQ0MzIxMzUwMV5BMl5BanBnXkFtZTcwMjE1NjM1Mg@@._V1_.jpg
150,nm0000285,Alec Baldwin,alec-baldwin-30725,1958,,https://m.media-amazon.com/images/M/MV5BMjE1Njg4MzY3M15BMl5BanBnXkFtZTcwNTY3MjE3NA@@._V1_.jpg
151,nm0000289,Ellen Barkin,ellen-barkin-105584,1954,,https://m.media-amazon.com/images/M/MV5BMTI2OTk3MTgxNl5BMl5BanBnXkFtZTcwMTMxNDkxMw@@._V1_.jpg
152,nm0000290,John Barry,,1933,2011,https://m.media-amazon.com/images/M/MV5BMTM4Mjk3OTAzNV5BMl5BanBnXkFtZTcwNjc5NzA0NA@@._V1_.jpg
